,Hbond,atom1,atom2,bond_length,crystal
328,OH,O47,H109,3.4569959330264366,K
329,OH,O47,H137,3.1695890347975775,K
330,OH,O48,H98,3.090920823023169,K
331,OH,O48,H106,3.2669870837737256,K
332,OH,O48,H110,3.456995924750133,K
333,OH,O48,H138,3.1695890723075957,K
334,FH,F15,H106,2.6884108924005417,K
335,FH,F16,H105,2.6884109817196618,K
336,FH,F17,H122,2.683582477477427,K
337,FH,F17,H138,2.9279866537879755,K
338,FH,F18,H121,2.6835830284920448,K
339,FH,F18,H137,2.927986402944107,K
340,FH,F19,H113,2.9594661671289844,K
341,FH,F19,H121,2.9675838576023477,K
342,FH,F20,H114,2.9594657427785274,K
343,FH,F20,H122,2.9675833711471094,K
344,FH,F23,H130,2.473457112553152,K
345,FH,F24,H129,2.4734570596130108,K
346,FH,F25,H86,2.8944391580948707,K
347,FH,F25,H90,2.9254842428241656,K
348,FH,F25,H115,2.7735355656704073,K
349,FH,F25,H131,2.810018624373329,K
350,FH,F26,H85,2.894439118415452,K
351,FH,F26,H89,2.9254845039769624,K
352,FH,F26,H116,2.773535458037003,K
353,FH,F26,H132,2.8100183632425226,K
354,FH,F27,H90,2.7683937328802632,K
355,FH,F27,H97,2.3289101733903914,K
356,FH,F28,H89,2.7683941532925083,K
357,FH,F28,H98,2.328910147916073,K
358,FH,F29,H109,2.7776991485993467,K
359,FH,F29,H116,2.932939135019015,K
360,FH,F29,H120,2.9504628319695247,K
361,FH,F30,H110,2.7776991273436193,K
362,FH,F30,H115,2.9329394154248347,K
363,FH,F30,H119,2.9504628581173735,K
364,NH,N33,H57,2.110377912560228,Cs
365,NH,N33,H59,2.1785791066375264,Cs
366,NH,N33,H61,3.4439810026898647,Cs
367,NH,N33,H63,2.5736031243954467,Cs
368,NH,N33,H65,2.761369559859984,Cs
369,NH,N33,H81,2.7478999771512966,Cs
370,NH,N34,H58,2.1103778028451368,Cs
371,NH,N34,H60,2.17857915380096,Cs
372,NH,N34,H62,3.4439808609659246,Cs
373,NH,N34,H64,2.573603124395447,Cs
374,NH,N34,H66,2.76136978835841,Cs
375,NH,N34,H82,2.7479001069665947,Cs
376,NH,N35,H61,2.890100618224581,Cs
377,NH,N35,H75,2.1477628112942875,Cs
378,NH,N35,H77,2.0285216376977617,Cs
379,NH,N35,H79,2.652373879059164,Cs
380,NH,N35,H81,3.3928029575089544,Cs
381,NH,N35,H85,2.864771041674325,Cs
382,NH,N36,H62,2.890100795143502,Cs
383,NH,N36,H76,2.147762905134552,Cs
384,NH,N36,H78,2.028521754813608,Cs
385,NH,N36,H80,2.6523742064495304,Cs
386,NH,N36,H82,3.392802947997614,Cs
387,NH,N36,H86,2.8647712642781116,Cs
388,OH,O21,H61,2.532547719021468,Cs
389,OH,O21,H63,2.499423360570511,Cs
390,OH,O21,H65,2.110626012463155,Cs
391,OH,O21,H67,2.1591210740797795,Cs
392,OH,O21,H69,2.2040037472604577,Cs
393,OH,O21,H71,2.1369479623677203,Cs
394,OH,O21,H73,2.0531226298117424,Cs
